customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,TenureGroup,TotalRevenue,AverageCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
3655-SNQYZ,Female,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,49+,7814.25,114.42,1,0,0,1,1,0,0
8191-XWSZG,Female,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,49+,1073.8,19.67,0,1,1,0,0,0,1
9959-WOFKT,Male,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,49+,7575.7,103.98,1,0,0,1,0,0,0
4190-MFLUW,Female,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,0-12,552.0,52.84,0,0,0,0,1,0,0
4183-MYFRB,Female,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,13-24,1891.05,88.71,1,0,0,0,0,1,0
8779-QRDMV,Male,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,0-12,39.65,39.65,0,0,0,0,0,1,0
1680-VDCWW,Male,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,0-12,237.6,16.85,0,1,1,0,0,0,0
1066-JKSGK,Male,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,0-12,20.15,20.15,0,1,0,0,0,0,1
3638-WEABW,Female,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,49+,3474.2,60.43,0,0,0,1,1,0,0
6322-HRPFA,Male,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,49+,2920.4,60.62,0,0,0,0,1,0,0
6865-JZNKO,Female,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,25-36,1659.0,51.02,0,0,0,0,0,0,0
6467-CHFZW,Male,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,37-48,4669.45,101.05,1,0,0,0,0,1,0
8665-UTDHZ,Male,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,0-12,30.2,30.2,0,0,0,0,0,1,0
5248-YGIJN,Male,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,49+,6498.0,88.46,0,0,0,1,1,0,0
8773-HHUOZ,Female,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,13-24,1099.9,64.3,0,0,0,0,0,0,1
3841-NFECX,Female,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,49+,6840.85,95.31,1,0,0,1,1,0,0
4929-XIHVW,Male,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,0-12,191.0,90.83,1,0,0,0,1,0,0
6827-IEAUQ,Female,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,25-36,1786.05,69.42,0,0,1,0,0,0,1
7310-EGVHZ,Male,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0-12,20.2,20.2,0,1,0,0,0,0,0
3413-BMNZE,Male,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,0-12,45.25,45.25,0,0,0,0,0,0,0
6234-RAAPL,Female,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,49+,7192.8,100.72,1,0,0,1,0,0,0
6047-YHPVI,Male,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,0-12,348.5,63.38,1,0,0,0,0,1,0
6572-ADKRS,Female,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,37-48,3440.8,77.14,1,0,0,0,1,0,0
5380-WJKOV,Male,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,25-36,3615.9,104.39,1,0,0,0,0,1,0
8168-UQWWF,Female,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,0-12,1076.35,100.49,1,0,0,0,0,0,0
8865-TNMNX,Male,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,0-12,495.5,47.57,0,0,1,0,0,0,1
9489-DEDVP,Female,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,0,49+,4844.0,69.61,0,0,0,1,1,0,0
9867-JCZSP,Female,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0,13-24,352.75,24.6,0,1,1,0,0,0,1
4671-VJLCL,Female,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,0,49+,5030.55,77.17,0,0,0,1,1,0,0
4080-IIARD,Female,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0,13-24,990.6,75.5,0,0,0,0,0,1,0
3714-NTNFO,Female,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,0,49+,4140.5,79.73,1,0,0,0,0,1,0
5948-UJZLF,Male,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97.0,0,0-12,98.5,48.5,0,0,0,0,0,0,1
7760-OYPDY,Female,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1,0-12,161.3,72.08,1,0,0,0,0,1,0
7639-LIAYI,Male,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,0,49+,4147.0,81.11,0,0,0,1,1,0,0
2954-PIBKO,Female,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,0,49+,4426.35,61.65,0,0,0,1,1,0,0
8012-SOUDQ,Female,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,0,37-48,3880.75,89.27,1,0,0,0,0,1,0
9420-LOJKX,Female,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,13-24,1486.5,95.09,1,0,0,0,1,0,0
6575-SUVOI,Female,1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,0,25-36,1737.5,70.11,0,0,0,0,1,0,0
7495-OOKFY,Female,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,0-12,645.2,79.16,1,0,0,0,1,0,0
4667-QONEA,Female,1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,0,49+,4491.0,74.27,0,0,1,0,1,0,0
1658-BYGOY,Male,1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,13-24,1718.1,97.36,1,0,0,0,0,1,0
8769-KKTPH,Female,0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,0,49+,6277.95,100.18,1,0,1,0,1,0,0
5067-XJQFU,Male,1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,0,49+,7157.7,107.22,1,0,1,0,0,1,0
3957-SQXML,Female,0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,0,25-36,848.3,26.3,0,1,0,1,1,0,0
5954-BDFSG,Female,0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,0,49+,7740.0,109.08,1,0,0,1,1,0,0
0434-CSFON,Female,0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,0,37-48,4723.5,100.15,1,0,0,0,0,1,0
1215-FIGMP,Male,0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,0,49+,5394.0,90.84,1,0,0,0,0,0,0
0526-SXDJP,Male,0,1,0,72,0,0,1,1,1,0,0,0,0,42.1,2962.0,0,49+,3031.2,41.14,0,0,0,1,0,0,0
0557-ASKVU,Female,0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,0,13-24,979.2,53.17,0,0,1,0,1,0,0
5698-BQJOH,Female,0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,1,0-12,849.6,95.25,1,0,0,0,0,1,0
5122-CYFXA,Female,0,0,0,3,1,0,0,1,0,1,1,1,1,75.3,244.1,0,0-12,225.9,81.37,0,0,0,0,0,1,0
8627-ZYGSZ,Male,0,1,0,47,1,1,0,1,0,0,0,0,1,78.9,3650.35,0,37-48,3708.3,77.67,1,0,1,0,0,1,0
3410-YOQBQ,Female,0,0,0,31,1,0,0,1,1,1,1,1,0,79.2,2497.2,0,25-36,2455.2,80.55,0,0,0,1,0,0,1
3170-NMYVV,Female,0,1,1,50,1,0,0,0,0,0,0,0,0,20.15,930.9,0,49+,1007.5,18.62,0,1,0,1,0,0,0
7410-OIEDU,Male,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,0,0-12,798.5,88.73,1,0,0,0,0,0,1
2273-QCKXA,Male,0,0,0,1,1,0,0,0,0,1,0,0,0,49.05,49.05,0,0-12,49.05,49.05,0,0,0,0,0,0,1
0731-EBJQB,Female,0,1,1,52,1,0,0,0,0,0,0,0,1,20.4,1090.65,0,49+,1060.8,20.97,0,1,1,0,0,1,0
1891-QRQSA,Male,1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099.0,0,49+,7142.4,110.92,1,0,0,1,0,0,0
8028-PNXHQ,Male,0,1,1,62,1,1,0,0,0,0,0,0,1,24.25,1424.6,0,49+,1503.5,22.98,0,1,0,1,0,0,0
5630-AHZIL,Female,0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,177.4,0,0-12,193.5,59.13,0,0,0,0,0,0,0
2673-CXQEU,Female,1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,0,49+,6188.0,109.63,1,0,1,0,0,1,0
6416-JNVRK,Female,0,0,0,46,1,0,0,0,0,0,0,1,0,55.65,2688.85,0,37-48,2559.9,58.45,0,0,1,0,1,0,0
5590-ZSKRV,Female,0,1,1,8,1,0,1,1,0,0,0,0,0,54.65,482.25,0,0-12,437.2,60.28,0,0,0,0,0,0,1
0191-ZHSKZ,Male,1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,0,25-36,2242.5,70.38,0,0,0,0,0,1,0
3887-PBQAO,Female,0,1,1,45,1,1,0,0,0,0,0,0,1,25.9,1216.6,0,37-48,1165.5,27.04,0,1,1,0,1,0,0
5919-TMRGD,Female,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,1,0-12,79.35,79.35,1,0,0,0,0,1,0
8108-UXRQN,Female,0,1,1,11,0,0,1,0,0,0,1,1,0,50.55,565.35,0,0-12,556.05,51.4,0,0,0,0,0,1,0
9191-MYQKX,Female,0,1,0,7,1,0,0,0,1,0,0,0,1,75.15,496.9,1,0-12,526.05,70.99,1,0,0,0,0,0,0
9919-YLNNG,Female,0,0,0,42,1,0,0,1,1,1,1,1,1,103.8,4327.5,0,37-48,4359.6,103.04,1,0,0,0,0,0,0
0318-ZOPWS,Female,0,1,0,49,1,0,0,0,0,0,0,0,1,20.15,973.35,0,49+,987.35,19.86,0,1,0,1,0,0,0
4445-ZJNMU,Male,0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,0,0-12,893.7,102.08,1,0,0,0,1,0,0
4808-YNLEU,Female,0,1,0,35,1,0,1,0,0,0,1,0,1,62.15,2215.45,0,25-36,2175.25,63.3,0,0,1,0,0,0,0
1862-QRWPE,Female,0,1,1,48,1,0,0,0,0,0,0,0,0,20.65,1057.0,0,37-48,991.2,22.02,0,1,0,1,0,0,0
2796-NNUFI,Female,0,1,1,46,1,0,0,0,0,0,0,0,1,19.95,927.1,0,37-48,917.7,20.15,0,1,0,1,0,0,1
3016-KSVCP,Male,0,1,0,29,0,0,0,0,0,0,1,0,0,33.75,1009.25,0,25-36,978.75,34.8,0,0,0,0,0,0,1
4767-HZZHQ,Male,0,1,1,30,1,0,0,1,1,0,0,0,0,82.05,2570.2,0,25-36,2461.5,85.67,1,0,0,0,0,0,0
2424-WVHPL,Male,1,0,0,1,1,0,0,0,0,1,0,0,0,74.7,74.7,0,0-12,74.7,74.7,1,0,0,0,0,1,0
7233-PAHHL,Male,0,1,1,66,1,1,1,0,1,1,1,1,1,84.0,5714.25,0,49+,5544.0,86.58,0,0,0,1,0,0,1
6067-NGCEU,Female,0,0,0,65,1,1,1,1,1,0,1,1,1,111.05,7107.0,0,49+,7218.25,109.34,1,0,0,0,1,0,0
9848-JQJTX,Male,0,0,0,72,1,1,0,1,1,0,1,1,1,100.9,7459.05,0,49+,7264.8,103.6,1,0,0,1,0,0,0
8637-XJIVR,Female,0,0,0,12,1,1,1,0,0,0,0,0,1,78.95,927.35,1,0-12,947.4,77.28,1,0,0,0,0,1,0
9803-FTJCG,Male,0,1,1,71,1,1,1,1,0,1,0,0,1,66.85,4748.7,0,49+,4746.35,66.88,0,0,1,0,1,0,0
0278-YXOOG,Male,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,1,0-12,105.25,22.77,0,1,0,0,0,0,1
3212-KXOCR,Male,0,0,0,52,1,0,0,0,0,0,0,0,0,21.0,1107.2,0,49+,1092.0,21.29,0,1,0,1,0,0,0
4598-XLKNJ,Female,1,1,0,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,1,25-36,2462.5,100.58,1,0,0,0,0,1,0
6380-ARCEH,Male,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0-12,20.2,20.2,0,1,0,0,0,0,1
3679-XASPY,Female,0,1,1,1,1,0,0,0,0,0,0,0,0,19.45,19.45,0,0-12,19.45,19.45,0,1,0,0,0,1,0
7123-WQUHX,Male,0,0,0,38,1,1,0,0,1,1,1,0,0,95.0,3605.6,0,37-48,3610.0,94.88,1,0,1,0,0,0,0
5386-THSLQ,Female,1,1,0,66,0,0,0,1,1,0,1,0,0,45.55,3027.25,0,49+,3006.3,45.87,0,0,1,0,0,0,0
3192-NQECA,Male,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,1,49+,7480.0,111.94,1,0,0,1,0,0,0
6180-YBIQI,Male,0,0,0,5,0,0,0,0,0,0,0,0,0,24.3,100.2,0,0-12,121.5,20.04,0,0,0,0,0,0,1
6728-DKUCO,Female,0,1,1,72,1,1,1,1,0,0,1,1,1,104.15,7303.05,0,49+,7498.8,101.43,1,0,1,0,0,1,0
9750-BOOHV,Female,0,0,0,32,0,0,1,0,0,0,0,0,0,30.15,927.65,0,25-36,964.8,28.99,0,0,1,0,0,0,1
8597-CWYHH,Male,0,0,0,43,1,1,0,0,0,0,1,1,0,94.35,3921.3,0,37-48,4057.05,91.19,1,0,1,0,0,0,1
2848-YXSMW,Male,0,1,1,72,1,0,0,0,0,0,0,0,0,19.4,1363.25,0,49+,1396.8,18.93,0,1,0,1,1,0,0
0486-HECZI,Male,0,1,0,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,1,49+,5321.25,95.25,1,0,0,0,0,1,0
4549-ZDQYY,Female,0,0,0,52,1,0,1,0,1,1,0,0,0,57.95,3042.25,0,49+,3013.4,58.5,0,0,1,0,1,0,0
5712-AHQNN,Female,0,0,0,43,1,0,0,1,1,0,1,0,1,91.65,3954.1,0,37-48,3940.95,91.96,1,0,0,0,0,1,0
4846-WHAFZ,Female,1,1,0,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,1,37-48,2830.5,77.52,1,0,0,0,0,1,0
5256-SKJGO,Female,0,1,1,64,0,0,0,1,0,1,1,1,1,54.6,3423.5,0,49+,3494.4,53.49,0,0,0,1,0,1,0
3071-VBYPO,Male,0,1,1,3,1,0,1,1,0,0,1,0,0,89.85,248.4,0,0-12,269.55,82.8,1,0,0,0,0,1,0
9560-BBZXK,Female,0,0,0,36,0,0,1,0,0,0,0,0,0,31.05,1126.35,0,25-36,1117.8,31.29,0,0,0,1,0,0,0
5299-RULOA,Female,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,1,0-12,1002.5,106.47,1,0,0,0,0,1,0
8402-OOOHJ,Female,0,0,0,41,1,0,0,0,0,0,0,0,0,20.65,835.15,0,37-48,846.65,20.37,0,1,0,1,0,0,1
9445-ZUEQE,Male,0,1,1,27,1,1,0,1,0,1,0,0,1,85.2,2151.6,0,25-36,2300.4,79.69,1,0,0,0,1,0,0
1091-SOZGA,Female,0,1,1,56,1,1,0,0,1,0,1,1,1,99.8,5515.45,0,49+,5588.8,98.49,1,0,1,0,1,0,0
2928-HLDBA,Female,0,0,0,6,1,0,0,0,0,0,0,0,0,20.7,112.75,0,0-12,124.2,18.79,0,1,0,0,0,0,1
0404-SWRVG,Male,0,0,0,3,1,1,0,0,0,0,0,0,1,74.4,229.55,1,0-12,223.2,76.52,1,0,0,0,0,1,0
6497-TILVL,Female,0,1,1,7,1,0,1,0,0,0,0,0,0,50.7,350.35,0,0-12,354.9,50.05,0,0,0,0,0,0,1
7219-TLZHO,Female,0,1,1,4,1,0,0,0,0,0,0,0,0,20.85,62.9,0,0-12,83.4,15.72,0,1,0,0,0,0,1
4622-YNKIJ,Male,0,0,0,33,1,0,1,0,0,1,1,0,1,88.95,3027.65,0,25-36,2935.35,91.75,1,0,0,1,0,1,0
4412-YLTKF,Female,1,0,0,27,1,1,0,0,1,0,0,0,1,78.05,2135.5,1,25-36,2107.35,79.09,1,0,0,0,0,1,0
6734-PSBAW,Male,0,1,0,72,1,1,0,0,0,0,0,0,1,23.55,1723.95,0,49+,1695.6,23.94,0,1,0,1,0,0,0
3930-ZGWVE,Male,0,0,0,1,1,0,0,0,0,0,0,0,0,19.75,19.75,0,0-12,19.75,19.75,0,1,0,0,0,0,1
2639-UGMAZ,Male,1,0,0,71,0,0,1,1,0,0,1,1,1,56.45,3985.35,0,49+,4007.95,56.13,0,0,1,0,0,1,0
2876-GZYZC,Female,0,0,0,13,1,1,0,0,0,0,0,1,1,85.95,1215.65,0,13-24,1117.35,93.51,1,0,0,0,0,1,0
6207-WIOLX,Female,0,1,1,25,0,0,1,1,1,0,1,1,1,58.6,1502.65,1,25-36,1465.0,60.11,0,0,0,0,1,0,0
8587-XYZSF,Male,0,0,0,67,1,0,0,0,0,1,0,0,0,50.55,3260.1,0,49+,3386.85,48.66,0,0,0,1,0,0,0
3091-FYHKI,Male,0,0,0,1,0,0,0,0,0,0,0,1,1,35.45,35.45,1,0-12,35.45,35.45,0,0,0,0,0,1,0
2372-HWUHI,Male,0,0,0,2,1,0,0,0,0,0,0,0,0,44.35,81.25,1,0-12,88.7,40.62,0,0,0,0,0,1,0
7799-LGRDP,Female,0,0,0,43,1,1,0,0,0,0,0,0,1,25.7,1188.2,0,37-48,1105.1,27.63,0,1,0,1,1,0,0
7850-VWJUU,Female,0,0,0,23,1,0,1,0,0,0,0,0,1,75.0,1778.5,0,13-24,1725.0,77.33,1,0,0,0,0,0,0
3774-VBNXY,Female,0,1,1,64,1,0,0,0,0,0,0,0,0,20.2,1277.75,0,49+,1292.8,19.96,0,1,0,1,0,0,1
6217-KDYWC,Male,0,0,1,57,1,0,0,0,0,0,0,0,1,19.6,1170.55,0,49+,1117.2,20.54,0,1,0,1,0,0,1
0390-DCFDQ,Female,1,1,0,1,1,0,0,0,0,0,0,0,1,70.45,70.45,1,0-12,70.45,70.45,1,0,0,0,0,0,1
3146-MSEGF,Female,1,1,1,72,1,1,1,1,1,1,1,1,1,88.05,6425.65,0,49+,6339.6,89.25,0,0,0,1,1,0,0
4080-OGPJL,Female,0,0,0,8,1,1,1,0,0,1,0,1,0,71.15,563.65,1,0-12,569.2,70.46,0,0,0,0,0,1,0
1095-WGNGG,Female,0,1,0,61,1,1,0,1,0,0,1,1,1,101.05,5971.25,0,49+,6164.05,97.89,1,0,0,1,0,0,0
2636-SJDOU,Male,0,0,0,64,1,1,1,1,0,0,0,0,1,84.3,5289.05,0,49+,5395.2,82.64,1,0,1,0,1,0,0
1131-QQZEB,Male,1,1,0,71,1,1,0,0,0,0,0,0,0,23.95,1756.2,0,49+,1700.45,24.74,0,1,0,1,0,0,0
5716-EZXZN,Female,0,1,1,65,1,1,1,1,0,1,1,0,1,99.05,6416.7,0,49+,6438.25,98.72,1,0,0,1,1,0,0
6837-BJYDQ,Male,0,0,0,3,1,0,0,0,0,0,0,0,0,19.6,61.35,0,0-12,58.8,20.45,0,1,1,0,0,0,1
2135-RXIHG,Male,0,0,0,1,1,0,0,0,0,0,0,0,1,45.65,45.65,1,0-12,45.65,45.65,0,0,0,0,0,1,0
6440-DKQGE,Male,0,0,1,30,1,0,0,1,1,0,1,0,0,64.5,1929.95,0,25-36,1935.0,64.33,0,0,1,0,1,0,0
3466-BYAVD,Male,0,1,1,15,1,0,0,1,1,1,0,1,1,69.5,1071.4,0,13-24,1042.5,71.43,0,0,0,0,0,0,1
3780-YVMFA,Female,0,1,1,8,1,0,0,0,0,1,1,1,1,68.55,564.35,0,0-12,548.4,70.54,0,0,0,0,0,1,0
3874-EQOEP,Male,0,0,0,7,1,1,0,0,0,0,1,1,0,95.0,655.5,1,0-12,665.0,93.64,1,0,0,0,0,0,1
1679-JRFBR,Female,0,1,1,70,1,1,1,1,1,0,1,1,1,108.15,7930.55,0,49+,7570.5,113.29,1,0,1,0,1,0,0
9073-ZZIAY,Male,0,1,1,62,1,0,1,1,1,1,1,1,0,86.1,5215.25,0,49+,5338.2,84.12,0,0,0,1,0,1,0
3077-RSNTJ,Female,0,1,1,6,1,0,0,0,0,0,0,0,0,19.7,113.5,0,0-12,118.2,18.92,0,1,0,0,0,0,1
6551-GNYDG,Female,0,1,1,14,1,0,0,0,0,0,0,1,1,80.9,1152.8,0,13-24,1132.6,82.34,1,0,0,0,0,0,0
9167-APMXZ,Female,0,0,0,22,1,1,0,0,0,0,1,0,1,84.15,1821.95,0,13-24,1851.3,82.82,1,0,0,0,0,0,0
2749-CTKAJ,Male,0,1,1,22,1,0,0,0,0,0,0,0,0,20.15,419.9,0,13-24,443.3,19.09,0,1,1,0,0,0,1
6371-NZYEG,Male,0,1,1,16,1,0,1,0,1,0,1,0,0,64.25,1024.0,0,13-24,1028.0,64.0,0,0,0,1,0,0,1
7554-NEWDD,Male,0,0,0,10,1,1,0,0,0,0,0,0,0,25.7,251.6,0,0-12,257.0,25.16,0,1,0,1,0,0,0
8992-VONJD,Female,0,0,1,13,1,0,1,1,0,0,0,0,1,56.0,764.55,0,13-24,728.0,58.81,0,0,0,0,0,1,0
0867-MKZVY,Female,0,1,0,20,1,1,1,0,0,0,0,0,0,82.4,1592.35,1,13-24,1648.0,79.62,1,0,0,0,0,1,0
4482-EWFMI,Female,0,0,0,2,1,0,0,0,0,0,0,0,1,69.7,135.2,0,0-12,139.4,67.6,1,0,0,0,0,1,0
4648-YPBTM,Male,0,0,0,53,1,1,0,1,1,1,0,1,1,73.9,3958.25,0,49+,3916.7,74.68,0,0,0,1,0,0,0
2907-ILJBN,Female,0,1,1,11,1,0,0,0,0,0,0,0,0,20.6,233.9,0,0-12,226.6,21.26,0,1,1,0,0,0,1
6345-FZOQH,Male,0,1,0,69,1,0,0,0,0,0,0,0,0,19.9,1363.45,0,49+,1373.1,19.76,0,1,0,1,0,0,1
3376-BMGFE,Female,0,0,0,4,1,0,0,0,0,0,0,0,1,70.9,273.0,1,0-12,283.6,68.25,1,0,0,0,0,0,0
5997-OPVFA,Male,0,1,0,72,1,1,1,1,1,1,1,1,1,89.05,6254.45,0,49+,6411.6,86.87,0,0,0,1,0,0,0
3445-HXXGF,Male,1,1,0,58,0,0,0,1,1,0,0,1,1,45.3,2651.2,1,49+,2627.4,45.71,0,0,0,0,0,1,0
1159-WFSGR,Female,0,1,1,16,1,0,0,0,0,0,0,0,0,20.4,321.4,0,13-24,326.4,20.09,0,1,0,0,0,1,0
7654-YWJUF,Male,0,1,0,43,1,0,1,0,1,1,0,0,1,84.25,3539.25,0,37-48,3622.75,82.31,1,0,1,0,0,0,0
1875-QIVME,Female,0,1,0,2,1,1,0,0,1,1,1,1,1,104.4,242.8,1,0-12,208.8,121.4,1,0,0,0,0,1,0
6727-IOTLZ,Male,0,1,0,14,1,0,0,1,1,1,1,1,0,81.95,1181.75,0,13-24,1147.3,84.41,0,0,0,1,0,0,1
0691-JVSYA,Female,0,1,0,53,1,0,0,0,1,0,1,1,1,94.85,5000.2,1,49+,5027.05,94.34,1,0,1,0,0,0,0
5918-VUKWP,Female,0,0,0,32,1,0,0,0,0,0,0,0,0,20.55,654.55,0,25-36,657.6,20.45,0,1,1,0,0,0,0
1744-JHKYS,Female,0,1,0,34,1,1,0,0,0,0,0,0,0,24.7,780.2,0,25-36,839.8,22.95,0,1,0,0,0,1,0
2656-FMOKZ,Female,1,0,0,15,1,1,0,0,0,0,0,0,1,74.45,1145.7,1,13-24,1116.75,76.38,1,0,0,0,0,0,1
2070-FNEXE,Female,1,0,0,7,1,0,1,0,0,0,0,0,0,76.45,503.6,1,0-12,535.15,71.94,1,0,0,0,0,0,0
5947-SGKCL,Female,0,1,1,15,1,1,0,1,1,0,1,1,1,105.35,1559.25,0,13-24,1580.25,103.95,1,0,0,0,0,0,0
3712-PKXZA,Male,0,1,0,61,1,0,0,0,0,0,0,0,1,20.55,1252.0,0,49+,1253.55,20.52,0,1,1,0,1,0,0
